"SP1","SP2","DISTANCE"
"anatolicus","colchica",346.14965
"anatolicus","fragilis",346.14965
"anatolicus","orbicularis",346.14965
"anatolicus","trinacris",346.14965
"anatolicus","varius",346.1498
"anatolicus","ruber",346.1498
"anatolicus","nuchalis",346.1498
"anatolicus","salar",449.0727
"anatolicus","trutta",449.0727
"anatolicus","senegalensis",449.0727
"anatolicus","aegyptiaca",449.0727
"macedonicus","bombina",314.8535
"macedonicus","variegata",314.8535
"macedonicus","marmoratus",18.2
"macedonicus","pygmaeus",18.2
"macedonicus","ivanbureschi",7.28
"macedonicus","anatolicus",7.28
"macedonicus","macedonicus",0
"macedonicus","cristatus",5.4
"macedonicus","montandoni",42.7954435
"macedonicus","vulgaris",42.7954435
"macedonicus","glareolus",346.14975
"macedonicus","rutilus",346.14975
"macedonicus","bocagei",346.1498
"macedonicus","guadarramae",346.1498
"macedonicus","virescens",346.1498
"macedonicus","hispanicus",346.1498
"macedonicus","vaucheri",346.1498
"macedonicus","carbonelli",346.1498
"macedonicus","liolepis",346.1498
"macedonicus","natrix",346.1496
"macedonicus","astreptophora",346.1496
"macedonicus","helvetica",346.1496
"macedonicus","colchica",346.14965
"macedonicus","fragilis",346.14965
"macedonicus","orbicularis",346.14965
"macedonicus","trinacris",346.14965
"macedonicus","varius",346.1498
"macedonicus","ruber",346.1498
"macedonicus","nuchalis",346.1498
"macedonicus","salar",449.0727
"macedonicus","trutta",449.0727
"macedonicus","senegalensis",449.0727
"macedonicus","aegyptiaca",449.0727
"cristatus","bombina",314.8535
"cristatus","variegata",314.8535
"cristatus","marmoratus",18.2
"cristatus","pygmaeus",18.2
"cristatus","ivanbureschi",7.28
"cristatus","anatolicus",7.28
"cristatus","macedonicus",5.4
"cristatus","cristatus",0
"cristatus","montandoni",42.7954435
"cristatus","vulgaris",42.7954435
"cristatus","glareolus",346.14975
"cristatus","rutilus",346.14975
"cristatus","bocagei",346.1498
"cristatus","guadarramae",346.1498
"cristatus","virescens",346.1498
"cristatus","hispanicus",346.1498
"cristatus","vaucheri",346.1498
"cristatus","carbonelli",346.1498
"cristatus","liolepis",346.1498
"cristatus","natrix",346.1496
"cristatus","astreptophora",346.1496
"cristatus","helvetica",346.1496
"cristatus","colchica",346.14965
"cristatus","fragilis",346.14965
"cristatus","orbicularis",346.14965
"cristatus","trinacris",346.14965
"cristatus","varius",346.1498
"cristatus","ruber",346.1498
"cristatus","nuchalis",346.1498
"cristatus","salar",449.0727
"cristatus","trutta",449.0727
"cristatus","senegalensis",449.0727
"cristatus","aegyptiaca",449.0727
"montandoni","bombina",314.8535005
"montandoni","variegata",314.8535005
"montandoni","marmoratus",42.7954435
"montandoni","pygmaeus",42.7954435
"montandoni","ivanbureschi",42.7954435
"montandoni","anatolicus",42.7954435
"montandoni","macedonicus",42.7954435
"montandoni","cristatus",42.7954435
"montandoni","montandoni",0
"montandoni","vulgaris",3.97
"montandoni","glareolus",346.1497505
"montandoni","rutilus",346.1497505
"montandoni","bocagei",346.1498005
"montandoni","guadarramae",346.1498005
"montandoni","virescens",346.1498005
"montandoni","hispanicus",346.1498005
"montandoni","vaucheri",346.1498005
"montandoni","carbonelli",346.1498005
"montandoni","liolepis",346.1498005
"montandoni","natrix",346.1496005
"montandoni","astreptophora",346.1496005
"montandoni","helvetica",346.1496005
"montandoni","colchica",346.1496505
"montandoni","fragilis",346.1496505
"montandoni","orbicularis",346.1496505
"montandoni","trinacris",346.1496505
"montandoni","varius",346.1498005
"montandoni","ruber",346.1498005
"montandoni","nuchalis",346.1498005
"montandoni","salar",449.0727005
"montandoni","trutta",449.0727005
"montandoni","senegalensis",449.0727005
"montandoni","aegyptiaca",449.0727005
"vulgaris","bombina",314.8535005
"vulgaris","variegata",314.8535005
"vulgaris","marmoratus",42.7954435
"vulgaris","pygmaeus",42.7954435
"vulgaris","ivanbureschi",42.7954435
"vulgaris","anatolicus",42.7954435
"vulgaris","macedonicus",42.7954435
"vulgaris","cristatus",42.7954435
"vulgaris","montandoni",3.97
"vulgaris","vulgaris",0
"vulgaris","glareolus",346.1497505
"vulgaris","rutilus",346.1497505
"vulgaris","bocagei",346.1498005
"vulgaris","guadarramae",346.1498005
"vulgaris","virescens",346.1498005
